Time_03,IPC_03,Time_19,IPC_19
47.66797397,3.7167,32.99470403,1.158394188
47.76813567,2.786,33.09487064,1.173498534
47.86830419,2.7493,33.19503123,1.175870335
47.96846582,2.8039,33.29519032,1.220888434
48.06861234,2.7951,33.39535064,1.16754582
48.16874368,2.8037,33.49552316,1.146240604
48.26887966,2.9958,33.59569315,1.213069385
48.36903195,3.667,33.69585721,1.181454199
48.46922438,2.7599,33.79602309,1.140366771
48.56938934,2.7518,33.8961957,1.146151856
48.66954062,2.7828,33.99635195,1.077278077
48.7696772,2.7828,34.09651557,1.146024024
48.86980925,2.7922,34.19668038,1.10348272
48.9699428,3.3635,34.29684391,1.129544014
49.07011647,3.1628,34.39700238,1.112649165
49.17028567,2.8556,34.49716517,1.151283791
49.27044731,2.8099,34.59733153,1.123834097
49.37058209,2.7857,34.69749734,1.139119154
49.47072185,2.813,34.7976756,1.140271825
49.57086084,2.7973,34.89784113,1.141217383
49.67099494,3.6665,34.99800642,1.171196572
49.77116132,2.8587,35.09817716,1.179685997
49.87135733,2.8572,35.19833707,1.183685367
49.97151639,2.8034,35.29850256,1.162610129
50.07166192,2.7969,35.39867266,1.14415614
50.17179451,2.8042,35.49884108,1.162289823
50.27194207,3.0652,35.59901651,1.183795653
50.37209511,3.6446,35.69918307,1.167160615
50.47238906,1.0379,35.79935054,1.177686326
55.39682888,2.4714,35.89952165,1.149543927
55.49697969,1.9132,35.99967953,1.145333586
55.59712864,1.7894,36.09993991,1.495473735
55.6972525,1.8761,41.12877394,1.977639534
55.79739294,1.8778,41.22896575,2.042020509
55.89753609,1.7803,41.32914492,2.198852433
55.99768209,1.7404,41.42932162,2.129132862
56.09782841,1.9066,41.52950309,2.228475843
56.197975,1.8025,41.6296832,2.30417252
56.29812003,1.882,41.72985694,2.154497026
56.39826072,1.8738,41.83003416,2.223456235
56.49840481,1.8074,41.93022995,2.139182784
56.59856113,1.7182,42.03040782,2.222502357
56.6987046,1.8928,42.13057924,2.283159025
56.79884929,1.8251,42.23075499,2.206801755
56.89899363,1.8683,42.33093094,2.132931881
56.99913352,1.8539,42.43110756,2.205574156
57.09928945,1.8382,42.53149628,2.499529957
57.19943513,1.6941,47.56028485,3.100345082
57.29958128,1.8898,47.66046222,3.736037308
57.39972672,1.8433,47.76063407,2.004816602
57.4998831,1.8863,47.86081033,2.734947616
57.60002457,1.838,47.96098102,2.315199547
57.70016836,1.8475,48.06115338,2.218390274
57.80031103,1.7323,48.1613284,2.950347845
57.90045697,1.8315,48.2615012,3.496074046
58.00058705,1.8491,48.36170181,3.78231167
58.10073092,1.8903,48.4618753,1.69677557
58.20087099,1.8431,48.56205121,1.823825571
58.3010135,1.8467,48.66222615,3.67279093
58.40116443,1.7261,48.76239574,2.744241871
58.50149335,1.7051,48.86256546,2.403159184
63.52639582,2.439,48.9627453,2.517425142
63.62655103,2.7958,49.06286473,1.977111007
63.7267061,3.2713,49.16306634,3.05001681
63.82686325,3.2854,49.26323912,2.647966684
63.92700576,3.5602,49.36342185,4.175488556
64.02715072,4.2533,49.46358628,1.74736447
64.12724586,4.2813,49.56375652,1.773177688
64.2273985,4.282,49.66392768,3.352472958
64.32752562,4.293,49.76410375,3.109094069
64.42764854,4.2839,49.8642797,2.112154084
64.52777643,3.8374,49.96447077,2.713793846
64.6279234,3.286,50.06467336,2.056422983
64.72807949,3.2835,50.16487427,2.9633145
64.82822301,3.4456,50.26503917,2.531026343
64.92836843,4.2318,50.36521386,4.177280337
65.02849929,4.2719,50.46538259,2.045092467
65.12862419,4.2927,50.56555779,1.75699839
65.228747,4.2759,50.66573647,3.06147665
65.32887215,4.2816,50.76592197,3.303681184
65.42900095,3.9985,50.86611188,2.275180342
65.5291521,3.2616,50.96632511,2.664904467
65.62931721,3.2723,51.06650429,2.135036466
65.73724875,3.3886,51.16669857,2.570603268
65.83741969,4.2467,51.26686695,2.48979492
65.9375601,4.2723,51.36704704,4.187912786
66.03769029,4.2907,51.46720369,2.366219341
66.13781565,4.3035,51.56737218,1.798166851
66.23793885,4.2769,51.66755192,2.508016079
66.33806365,4.0648,51.76774133,3.871015956
66.43821791,3.2604,51.86792831,2.028229417
66.53836723,3.266,51.9681043,2.791078242
66.63851632,3.2899,52.06827668,2.159824139
66.73865885,4.2113,52.16844632,2.196567253
66.83880087,4.2669,52.26861678,2.926693578
66.93893182,4.2705,52.36879309,3.585603153
67.03906154,4.2802,52.46897869,3.211023733
67.13918778,4.2838,52.5691573,1.737019269
67.24247402,4.1621,52.67011906,1.776538606
67.34262029,3.2508,57.69936765,2.39471223
67.44276774,3.272,57.79953446,1.963368325
67.54291331,3.2834,57.89971101,2.590594644
67.64305522,4.1127,57.99988541,2.068999051
67.74319787,4.2688,58.10004859,1.720478434
67.84332737,4.2842,58.20023439,1.747534133
67.94345539,4.2823,58.30040386,1.730133757
68.04358142,4.2778,58.40057627,1.819688959
68.14370478,4.2894,58.50075239,1.885470109
68.24397747,2.5427,58.60092831,1.838593489
73.1805859,2.3195,58.70110425,1.738039001
73.28074253,2.6947,58.80128303,1.867652671
73.38088986,2.7454,58.90145721,1.847825257
73.48101572,2.6257,59.00163193,1.265403857
73.58113537,2.719,59.10180978,1.193521392
73.68126478,2.7102,59.20198018,1.492258907
73.7813819,2.2535,59.30215596,2.00654948
73.88152452,2.1339,59.40233336,2.530431052
73.98163982,2.147,59.50251588,2.027455283
74.08175658,2.4932,59.60269785,1.703419341
74.18187396,2.7637,59.70286356,1.745336513
74.28199583,2.7493,59.80303473,1.749398372
74.38211204,2.1833,59.90322823,1.789187414
74.48223739,3.1489,60.00340175,1.916238005
74.58240097,3.2446,60.10356829,1.777859869
74.6825541,3.2455,60.20373824,1.79108379
74.78270436,3.2785,60.30391529,1.918965707
74.88285291,3.2469,60.40409047,1.619051328
74.98299943,2.8619,60.50425613,1.274292536
75.08314113,2.7788,60.60441913,1.184162168
75.18327219,2.6878,60.70460908,1.837047618
75.28339397,2.6614,60.80482142,2.301126547
75.38351242,2.7039,60.90500703,2.33618418
75.48364089,2.5266,61.0051868,1.78537291
75.58375794,2.1543,61.10536669,1.67783144
75.68387285,2.1249,61.2055451,1.744803517
75.78390956,2.2781,61.30572388,1.85588888
75.88402634,2.7183,61.40589451,1.786590545
75.9841472,2.7069,61.50606117,1.919426535
76.08426415,2.4466,61.6061927,1.68429236
76.18438551,2.7255,61.70635944,1.915897646
76.2845437,3.2519,61.80653204,1.866237278
76.3846936,3.2742,61.90670779,1.334907489
76.48483879,3.2027,62.00688306,1.249557985
76.58498029,3.2902,62.10705586,1.329362962
76.68512267,3.176,62.20723975,2.039061767
76.78526408,2.6653,62.30741931,2.578810268
76.88539182,2.7282,62.40759601,2.034268557
76.9855149,2.6283,62.50776776,1.736502362
